F1_Genotype,F1_LD_ID,F1_EGG_ID,Year,ENCL,Dam,Sire
E051_16_BABY_03,ld0313,egg0099,2016,e051,ld0165,w0008
E051_16_BABY_06,ld0339,egg0135,2016,e051,ld0166,w0009
E052_16_BABY_01,ld0277,egg0101,2016,e052,ld0169,w0010
E052_16_BABY_02,ld0275,egg0102,2016,e052,ld0169,w0010
E053_16_BABY_01,ld0356,egg0173,2016,e053,ld0173,w0011
E053_16_BABY_02,ld0357,egg0174,2016,e053,ld0173,w0011
E053_16_BABY_03,ld0330,egg0175,2016,e053,ld0173,w0011
E055_16_BABY_04,ld0243,egg0033,2016,e055,ld0181,w0012
E055_16_BABY_01,ld0233,egg0027,2016,e055,ld0182,w0013
E055_16_BABY_02,ld0232,egg0028,2016,e055,ld0182,w0013
E055_16_BABY_03,ld0282,egg0029,2016,e055,ld0182,w0013
E057_16_BABY_07,ld0281,egg0112,2016,e057,ld0185,w0014
E057_16_BABY_08,ld0322,egg0113,2016,e057,ld0185,w0014
E057_16_BABY_09,ld0278,egg0114,2016,e057,ld0185,w0014
E056_16_BABY_01,ld0269,egg0090,2016,e056,ld0186,w0015
E056_16_BABY_02,ld0321,egg0091,2016,e056,ld0186,w0015
E056_16_BABY_03,ld0279,egg0092,2016,e056,ld0186,w0015
E057_16_BABY_01,ld0290,egg0030,2016,e057,ld0189,w0016
E057_16_BABY_02,ld0293,egg0031,2016,e057,ld0189,w0016
E057_16_BABY_03,ld0241,egg0032,2016,e057,ld0189,w0016
E057_16_BABY_05,ld0267,egg0104,2016,e057,ld0190,w0017
E057_16_BABY_06,ld0315,egg0105,2016,e057,ld0190,w0017
E058_16_BABY_04,ld0266,egg0066,2016,e058,ld0191,w0018
E058_16_BABY_05,ld0306,egg0067,2016,e058,ld0191,w0018
E058_16_BABY_06,ld0314,egg0068,2016,e058,ld0191,w0018
E058_16_BABY_07,ld0312,egg0069,2016,e058,ld0191,w0018
E058_16_BABY_08,ld0259,egg0070,2016,e058,ld0191,w0018
E058_16_BABY_01,ld0294,egg0048,2016,e058,ld0193,ld0020
E058_16_BABY_02,ld0247,egg0050,2016,e058,ld0193,ld0020
E058_16_BABY_03,ld0251,egg0051,2016,e058,ld0193,ld0020
E058_16_BABY_09,ld0271,egg0087,2016,e058,ld0194,w0019
E058_16_BABY_11,ld0323,egg0089,2016,e058,ld0194,w0019
E059_16_BABY_04,ld0253,egg0064,2016,e059,ld0195,w0020
E059_16_BABY_05,ld0305,egg0065,2016,e059,ld0195,w0020
E059_16_BABY_06,ld0283,egg0125,2016,e059,ld0197,w0021
E059_16_BABY_01,ld0246,egg0042,2016,e059,ld0198,w0022
E059_16_BABY_02,ld0291,egg0044,2016,e059,ld0198,w0022
E060_16_BABY_01,ld0325,egg0107,2016,e060,ld0202,w0023
E060_16_BABY_02,ld0272,egg0108,2016,e060,ld0202,w0023
E060_16_BABY_03,ld0270,egg0109,2016,e060,ld0202,w0023
E060_16_BABY_04,ld0336,egg0129,2016,e060,ld0203,w0024
E060_16_BABY_05,ld0285,egg0131,2016,e060,ld0203,w0024
E060_16_BABY_06,ld0337,egg0132,2016,e060,ld0203,w0024
E059_16_BABY_03,ld0256,egg0063,2016,e059,ld0204,w0025
E061_16_BABY_01,ld0304,egg0062,2016,e061,ld0204,w0025
E058_16_BABY_10,ld0318,egg0088,2016,e058,ld0207,w0026
E062_16_BABY_07,ld0332,egg0126,2016,e062,ld0207,w0026
E062_16_BABY_08,ld0284,egg0128,2016,e062,ld0207,w0026
E062_16_BABY_09,ld0288,egg0140,2016,e062,ld0208,w0028
E062_16_BABY_10,ld0341,egg0142,2016,e062,ld0208,w0028
E062_16_BABY_11,ld0343,egg0143,2016,e062,ld0208,w0028
E062_16_BABY_05,ld0331,egg0118,2016,e062,ld0209,w0029
E062_16_BABY_06,ld0338,egg0119,2016,e062,ld0209,w0029
E062_16_BABY_01,ld0257,egg0072,2016,e062,ld0210,w0030
E062_16_BABY_02,ld0307,egg0073,2016,e062,ld0210,w0030
E062_16_BABY_03,ld0264,egg0074,2016,e062,ld0210,w0030
E062_16_BABY_04,ld0308,egg0075,2016,e062,ld0210,w0030
E052_16_BABY_03,ld0348,egg0148,2016,e052,ld0215,w0031
E052_16_BABY_04,ld0346,egg0150,2016,e052,ld0215,w0031
E035_17_BABY_04,ld0478,egg0231,2017,e035,ld0390,w0032
E044_17_BABY_01,ld0447,egg0226,2017,e044,ld0402,w0033
E044_17_BABY_02,ld0449,egg0227,2017,e044,ld0402,w0033
E044_17_BABY_03,ld0459,egg0225,2017,e044,ld0402,w0033
E044_17_BABY_04,ld0460,egg0228,2017,e044,ld0402,w0033
E044_17_BABY_05,ld0501,egg0317,2017,e044,ld0402,ld0138
E044_17_BABY_06,ld0503,egg0316,2017,e044,ld0402,ld0138
E044_17_BABY_07,ld0528,egg0315,2017,e044,ld0402,ld0138
E048_17_BABY_01,ld0505,egg0335,2017,e048,ld0403,w0034
E048_17_BABY_02,ld0534,egg0336,2017,e048,ld0403,w0034
E033_16_BABY_01,ld0239,egg0001,2016,e033,ld2015,ld0049
E033_16_BABY_02,ld0221,egg0002,2016,e033,ld2015,ld0049
E033_16_BABY_03,ld0235,egg0003,2016,e033,ld2015,ld0049
E0M6_17_BABY_01,ld0446,egg0218,2017,e0m6,ld2015,ld0075
E0M6_17_BABY_03,ld0462,egg0215,2017,e0m6,ld2015,ld0104
E0M6_17_BABY_04,ld0465,egg0219,2017,e0m6,ld2015,ld0075
E0M6_17_BABY_05,ld0467,egg0269,2017,e0m6,ld2015,ld0075
E0M6_17_BABY_07,ld0492,egg0270,2017,e0m6,ld2015,ld0075
E0M6_17_BABY_08,ld0496,egg0271,2017,e0m6,ld2015,ld0075
E052_16_BABY_05,ld0366,egg0161,2016,e052,w0035,w0036
E035_17_BABY_01,ld0452,egg0273,2017,e035,ld0401,w0037
E035_17_BABY_02,ld0453,egg0274,2017,e035,ld0401,w0037
E035_17_BABY_03,ld0463,egg0275,2017,e035,ld0401,w0037
